"authors","year","location","design","design_comment","subpopulation_logical","MSMW","YMSM","BMSM","LMSM","HIVOMSM","HIVMSM","AMSM","MSM_CSA","LMSMW","MSM-SW","TMSM","BMSM-SW","disaggregated_logical","MSMW_dis","BMSM_dis","LMSM_dis","HIVMSM_dis","BMSMW_dis","depression","substance_use","PTSD","IPV","binge","suicide","sex_comp","anxiety","IDU","CSA","polysubstance","bullying","AUD","internalised_homophobia","incarceration","unstable_housing","poverty","alcohol_use","exchange_sex","discrimination","tobacco_use","unemployment","healthcare_access","sexual_risk","substance_use_disorder","social_support","STI","HIV","violence","sleep_disturbance","loneliness","subordination","esteem","hostility","chemsex","impulsivity","hypersexuality","stress","escape","distress","childhood","venues","ADHD","alexithymia","trauma","physical_health","depression_scale","depression_scale_criteria","depression_cutoff","stimulants","ecstasy","hallucinogens","marijuana","depressants","NPS","opioids","inhalants","not_specified","substance_use_period","PTSD_type","PTSD_scale_criteria","PTSD_cutoff","physical","sexual","sexual_police","physical_police","psychological","not_specified_violence","violence_period","IPV_type","physical_IPV","sexual_IPV","HITS","psychological_IPV","gay-related_IPV","HIV-related_IPV","CTS2","IPV_cutoff_period","binge_episodes","binge_period","suicidal_thoughts","suicide_attempts","SBQ-R","PANSI","suicide_period","social_phobia","panic_disorder","GAD","anxiety_type","SPIN","MINI-SPIN","PHQ","DSM-IV","medication","GAD-7","BSI","self-report","HADS","anxiety_cutoff_period","sex_comp_type","sex_comp_scale_criteria","sex_comp_cutoff","measurement_IDU","CSA_type","CSA_scale_criteria","CSA_cutoff","polysubstance_number","polysubstance_marijuana","polysubstance_period","measurement_bullying","AUD_scale","AUD_cutoff","measurement_intern_homop","measurement_incarceration","measurement_housing","measurement_poverty","frequency_intensity","intoxication","consumption","early","alcohol_period","measurement_STI_condition","measurement_HIV_condition","measurement_exchange_sex_condition","measurement_discrimination","measurement_tobacco","measurement_unemployment","number_partners","CAS","Kalichman_SSSS","serodiscordant_CAS","COS","CVS","STI_risk","sex_work","HIV_partner","casual_CAS","measurement_risk_period","SUD_type","SUD_scale_criteria","SUD_cutoff","measurement_HC_access","measurement_sleep_disturbance","social_support_type","social_support_scale_criteria","social_support_cutoff","measurement_esteem","measurement_subordination","measurement_loneliness","measurement_hostility","chem_stimulants","chem_ecstasy","chem_depressants","chem_ketamine","chem_opioids","chem_poppers","chem_erection","chem_alcohol","chemsex_period","measurement_impulsivity","measurement_hypersexuality","measurement_stress","measurement_escape","measurement_distress","measurement_childhood_abuse","measurement_venues","measurement_ADHD","measurement_alexithymia","measurement_trauma","outcome_adherence","outcome_exhange_sex","outcome_sexual_risk","outcome_PrEP","outcome_HIV","outcome_VL","outcome_screening","outcome_physical_activity","outcome_ill","outcome_healthcare","outcome_STI","outcome_HPA","outcome_sexual_violence","outcome_glycemia","outcome_HIV_care","outcome_suicide","outcome_chemsex","outcome_MSMW","outcome_syndemic","outcome_help","outcome_substance","measurement_outcome_exchange_sex","measurement_outcome_ART","outcome_sexual_risk_type","outcome_HIRI","outcome_CAS","outcome_PrEP_VL_CAS","outcome_number_partners","outcome_substance_sex","outcome_serodiscodant_CAS","outcome_female_sex","outcome_receptive_CAS","outcome_PrEP_CAS","outcome_casual_CAS","outcome_CVS","outcome_non_disclosure","outcome_current_CAS","outcome_group_sex","outcome_COS","outcome_HIV_scale","outcome_sexual_risk_period","awareness","willingness","use","adherence","measurement_outcome_HIV","measurement_outcome_VL","measurement_outcome_screening","measurement_outcome_activity","measurement_outcome_ill","outcome_ideation","outcome_attempts","outcome_serious_attempts","measurement_outcome_suicide_period","chlamydia","gonorrhea","syphilis","hepatitis_B","hepatitis_C","herpes","warts","not_specified_STI","measurement_outcome_STI_report","measurement_outcome_STI_period","measurement_outcome_sexual_violence","cost","number_visits","mental_cost","number_mental_visit","ER_visit","inpatient_admission","measurement_outcome_chemsex","intervention_type","intervention_goal","intervention_control","intervention_size","intervention_control_size","intervention_duration","study_duration","score","LCA_LPA","RERI","EFA","network","product_term","O_E","moderation","mediation","SEM","path","CFA","cluster","LTA","sample_size","age","bio_bio_logical","bio_bio_interaction","bio_social_logical","bio_social_interaction","findings","minority_stress","social_cognitive","salutogenesis","resilience","intersectionality",
"Zepf et al.","2020","USA","Cross-sectional",,"Yes",,,,,"HIVOMSM",,,,,,,,"No",,,,,,"depression","substance_use","PTSD","IPV","binge",,,,,,,,,,,,,,,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,"Scale","PHQ-9","10","stimulants",,,,,,,,,"Past month","Scale","Breslau screening tool","4","physical","sexual",,,,,"Lifetime","Scale",,,"HITS",,,,,"11","At least one episode","Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_adherence",,,,,,,,,,,,,,,,,,,,,,"Self-asesment using the Self-Rating Scale Item",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"438","57.89","No",,"No",,"Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model.",,,,,,
"Lee et al.","2020","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV","binge","suicide","sex_comp","anxiety","IDU","CSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-8","Continuous","stimulants",,"hallucinogens",,"depressants",,"opioids","inhalants",,"Past 3 months",,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Lifetime","At least one episode","Past 3 months","suicidal_thoughts",,,,"Past 14 days","social_phobia",,,"Scale","SPIN",,,,,,,,,"19","Scale","Kalichman Sexual Compulsivity Scale","Continuous","At least one episode in the past 3 months","Definition","Finkelhor definition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EFA","network",,,,,,,,,,"197","36.6","No",,"No",,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention",,,,,,
"Walters et al.","2020","USA","Cross-sectional",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression",,,"IPV",,,,,,,"polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-2","3",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"More than one category of substance use","Marijuana not included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_exhange_sex",,,,,,,,,,,,,,,,,,,,"Being given anything (money, drugs, a place to stay, etc.) in exchange for sex in the last 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"722",,"No",,"No",,"Exchange sex was associated with being a Black MSM, < 30 years,  annual incomes < 20.000$, recent depressive symptoms, polydrug use, stimulant use and having experienced past and present IPV",,,,,,
"Turpin et al.","2020","USA","Cross-sectional",,"Yes",,"YMSM",,,,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV",,,,,,,,"bullying",,,,,,,,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,"Criteria","During the past 12 months having felt so sad or hopeless almost every day for 2 weeks in a row that the respondent stopped doing some usual activities","NULL","stimulants","ecstasy",,,,"NPS","opioids",,,"Lifetime",,,,,"sexual",,,,,"Lifetime","Criteria","physical_IPV","sexual_IPV",,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"School bullying and electronic harassment ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners","outcome_substance_sex",,,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LCA_LPA",,,,,,,,,,,,,"448",,"No",,"No",,"A syndemic of victimization, sexual violence, IPV, substance use and depression  was identified in a latent profile comprising 1/8th of the sample. This profile was strongly associated with substance use at last sexual intercourse and number of partners but not with condom use.","minority_stress",,,,,
"Chakrapani et al.","2020","India","Pretest-posttest nonequivalent groups",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,,,,"AUD","internalised_homophobia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-9","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AUDIT-C","4","Agreeing or strongly agreeing to any item of the revised Internalized Homophobia Scale (IHP-R)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A Motivational Interview based HIV prevention intervention","Reducing condomless anal intercourse by improving condom self-efficacy and by addressing co-occurring psychosocial conditions","MSM receiving standard of care in another NGO","229","230","Two sessions of 30-45 min separated by at least one month","12 months",,,"RERI",,,"product_term",,,,,,,,,"459",,"N/A",,"N/A",,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use",,"social_cognitive",,,,
"Halkitis et al.","2012","USA","Mixed (specify)","Cross-sectional quantitative method and discovery interview","Yes",,,,,"HIVOMSM",,,,,,,,"No",,,,,,"depression","substance_use","PTSD",,,,,,,,,,,,,,,"alcohol_use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","BDI-II","16",,,,"marijuana",,,,"inhalants",,"Past month","Scale","Trauma Awareness & Treatment Center scale","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"intoxication",,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"199","55.49","No",,"No",,"High prevalence of psychiatric conditions (PTSD and depression) as well as substance use among older MSM living with HIV. These psychosocial burdens are associated with unprotected anal intercourse.",,,,,,
"Blashill et al.","2020","USA","Cross-sectional",,"Yes",,,,"LMSM",,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV","binge",,,,,"CSA","polysubstance",,,,"incarceration","unstable_housing","poverty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-8","10",,,,"marijuana",,,,,,"Past month",,,,,,,,,,,"Scale",,,"HITS",,,,,"11","At least one episode","Past month",,,,,,,,,,,,,,,,,,,,,,,,"Definition","Finkelhor definition",,"At least 3 categories of substance use","Marijuana not included","Past month",,,,,"History of incarceration, lifetime","Unstable housing, in the past 6 months","Annual incomes inferior to 12.000 dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_PrEP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"awareness","willingness","use","adherence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"151","24","No",,"No",,"Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence.",,,,,,
"Lee et al.","2020","USA","Cross-sectional",,"Yes",,,,"LMSM",,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV",,,,,"IDU","CSA",,,,,"incarceration","unstable_housing","poverty","alcohol_use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-8","Continuous","stimulants",,"hallucinogens",,"depressants",,"opioids",,,"Past month",,,,,,,,,,,"Scale",,,"HITS",,,,,"Continuous",,,,,,,,,,,,,,,,,,,,,,,,,"IDU in the past month","Definition","Finkelhor definition",,,,,,,,,"History of incarceration, lifetime","Unstable housing, in the past 6 months","Annual incomes inferior to 12.000 dollars","frequency_intensity",,,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"network",,,,,,,,,,"139","24","No",,"No",,"Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS",,,,,,
"Perry et al.","2019","USA","Cross-sectional",,"Yes",,,,,,,"AMSM",,,,,,"No",,,,,,,"substance_use",,,,,,,,"CSA",,,"AUD",,,,,,,,,,,,,,,,,,,,,,,,,,,"distress",,,,,,,,,,,,,"marijuana",,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CTQ Sexual Abuse subscale","5",,,,,"AUDIT-C","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PHQ-2 + GAD-2 &gt;= 3",,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,"outcome_female_sex",,,,,,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"207","16","No",,"No",,"Syndemic conditions emerge early in the lifespan and are associated with early sexual experiences. Internalizing symptoms, problematic alcohol use, CSA and marijuana use were highly prevalent and interrelated.",,,,,,
