Refid;findings
3;"Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model."
6;Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention
7;Intersectionality provides the context needed to understand syndemics among BMSM, which differs from syndemics among white MSM due to intersecting stigma and harmful social conditions unique to BMSM. These structural inequities, notably racial neighborhood segregation, shape the expectations surrounding masculinity, which result in societal and internalized homophobia, producing distress, depression, suicidal ideation, substance use and HIV risk behavior.
8;Exchange sex was associated with being a Black MSM, < 30 years,  annual incomes < 20.000$, recent depressive symptoms, polydrug use, stimulant use and having experienced past and present IPV
9;A syndemic of victimization, sexual violence, IPV, substance use and depression  was identified in a latent profile comprising 1/8th of the sample. This profile was strongly associated with substance use at last sexual intercourse and number of partners but not with condom use.
11;"The meta-analysis showed a small significant positive effect of combined behavioral interventions to improve syndemic conditions (mental health, drug and alcohol use ; d=0.20) and sexual risk behaviors (d=0.16) with significant heterogeneity. More sessions (9 or more) and individual rather than group interventions showed grater efficacy."
12;This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use
13;Methamphetamine use, intimate partner violence and incarceration may form a syndemic in the lives of young black men who have sex with men, increasing their vulnerability of acquiring or transmitting HIV
14;Alcohol use, substance use, marginalization, family rejection, lack of social support and lack of gay-specific HIV prevention as well as role models contributed to the HIV infection in YMSM.
15;High prevalence of psychiatric conditions (PTSD and depression) as well as substance use among older MSM living with HIV. These psychosocial burdens are associated with unprotected anal intercourse.
16;Structural barriers such as unstable housing represent greater obstacles to being aware of the existence of PrEP than psychosocial conditions. However, once PrEP has been initiated, psychosocial conditions like intimate partner violence account for a greater variance in PrEP adherence.
19;Network analysis is feasible for studying syndemics.  CAS and alcohol use were significantly associated as well as CSA and alcohol use, non-injection substance use and IPV. The four most central nodes were unstable housing, incarceration, CSA and CAS
21;Syndemic conditions emerge early in the lifespan and are associated with early sexual experiences. Internalizing symptoms, problematic alcohol use, CSA and marijuana use were highly prevalent and interrelated.
