title,main_author,publication_year,country,design,subpopulation_studied,condition_name,outcome_name,stat_name,findings
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Depression,Adherence to ART,Regression analysis using summation score,Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model.
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Substance use,Adherence to ART,Regression analysis using summation score,Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model.
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,PTSD,Adherence to ART,Regression analysis using summation score,Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model.
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,IPV,Adherence to ART,Regression analysis using summation score,Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model.
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Binge drinking,Adherence to ART,Regression analysis using summation score,Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model.
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Violence,Adherence to ART,Regression analysis using summation score,Experiencing syndemic conditions is associated with decreased medication adherence ; PTSD and stiulant use had the strongest influence on medication adherence in the final model.
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Depression,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Depression,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Substance use,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Substance use,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,IPV,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,IPV,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Binge drinking,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Binge drinking,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Suicidality,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Suicidality,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Sexual compulsivity,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Sexual compulsivity,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Anxiety,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Anxiety,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,IDU,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,IDU,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,CSA,,Network Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,CSA,,Exploratory Factor Analysis,"Network analysis is a valuable methodology to examine patterns of synergistic relationships among psychosocial conditions that form a syndemic and may be preferable to EFA. Suicidal ideation, IDU, substance use and depression were the four most central nodes, suggesting that they may be important psychosocial syndemic indicators to investigate as well as targets of intervention"
A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,MSM living with HIV,Depression,Engagement in exchange sex,Regression analysis using summation score,"Exchange sex was associated with being a Black MSM, < 30 years,  annual incomes < 20.000$, recent depressive symptoms, polydrug use, stimulant use and having experienced past and present IPV"
A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,MSM living with HIV,IPV,Engagement in exchange sex,Regression analysis using summation score,"Exchange sex was associated with being a Black MSM, < 30 years,  annual incomes < 20.000$, recent depressive symptoms, polydrug use, stimulant use and having experienced past and present IPV"
A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,MSM living with HIV,Polysubstance use,Engagement in exchange sex,Regression analysis using summation score,"Exchange sex was associated with being a Black MSM, < 30 years,  annual incomes < 20.000$, recent depressive symptoms, polydrug use, stimulant use and having experienced past and present IPV"
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Depression,Sexual risk behaviors,Latent Class Analysis,"A syndemic of victimization, sexual violence, IPV, substance use and depression  was identified in a latent profile comprising 1/8th of the sample. This profile was strongly associated with substance use at last sexual intercourse and number of partners but not with condom use."
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Substance use,Sexual risk behaviors,Latent Class Analysis,"A syndemic of victimization, sexual violence, IPV, substance use and depression  was identified in a latent profile comprising 1/8th of the sample. This profile was strongly associated with substance use at last sexual intercourse and number of partners but not with condom use."
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,IPV,Sexual risk behaviors,Latent Class Analysis,"A syndemic of victimization, sexual violence, IPV, substance use and depression  was identified in a latent profile comprising 1/8th of the sample. This profile was strongly associated with substance use at last sexual intercourse and number of partners but not with condom use."
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Bullying,Sexual risk behaviors,Latent Class Analysis,"A syndemic of victimization, sexual violence, IPV, substance use and depression  was identified in a latent profile comprising 1/8th of the sample. This profile was strongly associated with substance use at last sexual intercourse and number of partners but not with condom use."
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Violence,Sexual risk behaviors,Latent Class Analysis,"A syndemic of victimization, sexual violence, IPV, substance use and depression  was identified in a latent profile comprising 1/8th of the sample. This profile was strongly associated with substance use at last sexual intercourse and number of partners but not with condom use."
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Depression,Sexual risk behaviors,Mediation Analysis,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Depression,Sexual risk behaviors,Significant product term ,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Depression,Sexual risk behaviors,Relative Excess Risk due to Interaction,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Alcohol Use Disorder,Sexual risk behaviors,Mediation Analysis,"This motivational interview-based intervention guided by syndemic theory was effective in improving consistent condom use and in reducing the three psychosocial conditions investigated (depression, alcohol use and internalised homophobia). Synergy was present for depression and alcool use and for depression and internalised homophobia on inconsistent condom use. Mediation analysis revealed that the intervention led to a reduction in alcool use and internalised homophobia which improved condom self-efficacy which ultimately led to an improvement in consistent condom use"
