refid,title,main_author,publication_year,country,design,outcome_name,hiv_related,subpopulation_studied,condition_name
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Adherence to ART,t,Older MSM living with HIV,Depression
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Adherence to ART,t,Older MSM living with HIV,Substance use
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Adherence to ART,t,Older MSM living with HIV,PTSD
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Adherence to ART,t,Older MSM living with HIV,IPV
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Adherence to ART,t,Older MSM living with HIV,Binge drinking
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Adherence to ART,t,Older MSM living with HIV,Violence
8,A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,Engagement in exchange sex,f,MSM living with HIV,Depression
8,A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,Engagement in exchange sex,f,MSM living with HIV,IPV
8,A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,Engagement in exchange sex,f,MSM living with HIV,Polysubstance use
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Young MSM,Depression
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Young MSM,Substance use
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Young MSM,IPV
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Young MSM,Bullying
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Young MSM,Violence
12,The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,Sexual risk behaviors,t,,Depression
12,The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,Sexual risk behaviors,t,,Alcohol Use Disorder
12,The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,Sexual risk behaviors,t,,Internalised homophobia
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Sexual risk behaviors,t,Older MSM living with HIV,Depression
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Sexual risk behaviors,t,Older MSM living with HIV,Substance use
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Sexual risk behaviors,t,Older MSM living with HIV,PTSD
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Sexual risk behaviors,t,Older MSM living with HIV,Alcohol use
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,Depression
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,Substance use
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,IPV
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,Binge drinking
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,CSA
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,Polysubstance use
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,Incarceration
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,Unstable housing
16,Syndemics and the PrEP Cascade: Results from a Sample of Young Latino Men Who Have Sex with Men.,Blashill et al.,2020,USA,Cross-sectional,PrEP use,t,Latino MSM,Poverty
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Depression
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Substance use
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,IPV
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,IDU
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,CSA
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Incarceration
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Unstable housing
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Poverty
19,Examining a Syndemics Network Among Young Latino Men Who Have Sex with Men.,Lee et al.,2020,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Alcohol use
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,Adolescent MSM,Substance use
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,Adolescent MSM,CSA
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,Adolescent MSM,Alcohol Use Disorder
21,Diversity of Psychosocial Syndemic Indicators and Associations with Sexual Behavior with Male and Female Partners Among Early Adolescent Sexual Minority Males.,Perry et al.,2019,USA,Cross-sectional,Sexual risk behaviors,t,Adolescent MSM,General mental distress
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,PrEP use,t,Black MSM,Depression
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,PrEP use,t,Black MSM,IPV
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,PrEP use,t,Black MSM,Binge drinking
25,Understanding the impact of a syndemic on the use of pre-exposure prophylaxis in a community-based sample of behaviorally PrEP-eligible BMSM in the United States.,Chandler et al.,2020,USA,Cross-sectional,PrEP use,t,Black MSM,Polysubstance use
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Syndemic conditions as the outcome,f,,Depression
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Syndemic conditions as the outcome,f,,IPV
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Syndemic conditions as the outcome,f,,Suicidality
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Syndemic conditions as the outcome,f,,Anxiety
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Syndemic conditions as the outcome,f,,STI
27,"Informing theoretical development of salutogenic, asset-based health improvement to reduce syndemics among gay, bisexual and other men who have sex with men: Empirical evidence from secondary analysis of multi-national, online cross-sectional surveys.",McDaid et al.,2019,International,Cross-sectional,Syndemic conditions as the outcome,f,,Poor physical health
