title,main_author,publication_year,country,design,subpopulation_studied,stat_name,condition_name
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Regression analysis using summation score,Depression
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Regression analysis using summation score,Substance use
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Regression analysis using summation score,PTSD
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Regression analysis using summation score,IPV
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Regression analysis using summation score,Binge drinking
Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Older MSM living with HIV,Regression analysis using summation score,Violence
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,Depression
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,Depression
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,Substance use
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,Substance use
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,IPV
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,IPV
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,Binge drinking
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,Binge drinking
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,Suicidality
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,Suicidality
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,Sexual compulsivity
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,Sexual compulsivity
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,Anxiety
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,Anxiety
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,IDU
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,IDU
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Network Analysis,CSA
Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,,Exploratory Factor Analysis,CSA
A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,MSM living with HIV,Regression analysis using summation score,Depression
A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,MSM living with HIV,Regression analysis using summation score,IPV
A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,MSM living with HIV,Regression analysis using summation score,Polysubstance use
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Latent Class Analysis,Depression
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Latent Class Analysis,Substance use
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Latent Class Analysis,IPV
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Latent Class Analysis,Bullying
"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Young MSM,Latent Class Analysis,Violence
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Mediation Analysis,Depression
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Significant product term ,Depression
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Relative Excess Risk due to Interaction,Depression
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Mediation Analysis,Alcohol Use Disorder
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Significant product term ,Alcohol Use Disorder
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Relative Excess Risk due to Interaction,Alcohol Use Disorder
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Mediation Analysis,Internalised homophobia
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Significant product term ,Internalised homophobia
The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,,Relative Excess Risk due to Interaction,Internalised homophobia
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,Regression analysis using summation score,Depression
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,Regression analysis using summation score,Substance use
"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Older MSM living with HIV,Regression analysis using summation score,PTSD
