refid,title,main_author,publication_year,country,design,condition_name,category,subpopulation_studied
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Depression,mental health,Older MSM living with HIV
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Substance use,social,Older MSM living with HIV
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,PTSD,mental health,Older MSM living with HIV
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,IPV,social,Older MSM living with HIV
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Binge drinking,social,Older MSM living with HIV
3,Syndemic conditions and medication adherence in older men living with HIV who have sex with men.,Zepf et al.,2020,USA,Cross-sectional,Violence,social,Older MSM living with HIV
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,Depression,mental health,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,Substance use,social,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,IPV,social,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,Binge drinking,social,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,Suicidality,mental health,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,Sexual compulsivity,mental health,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,Anxiety,mental health,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,IDU,social,
6,Connecting the dots: a comparison of network analysis and exploratory factor analysis to examine psychosocial syndemic indicators among HIV-negative sexual minority men.,Lee et al.,2020,USA,Cross-sectional,CSA,social,
8,A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,Depression,mental health,MSM living with HIV
8,A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,IPV,social,MSM living with HIV
8,A Syndemic Model of Exchange Sex Among HIV-Positive Men Who Have Sex With Men.,Walters et al.,2020,USA,Cross-sectional,Polysubstance use,social,MSM living with HIV
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Depression,mental health,Young MSM
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Substance use,social,Young MSM
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,IPV,social,Young MSM
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Bullying,social,Young MSM
9,"Victimization, Substance Use, Depression, and Sexual Risk in Adolescent Males Who Have Sex with Males: A Syndemic Latent Profile Analysis.",Turpin et al.,2020,USA,Cross-sectional,Violence,social,Young MSM
12,The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,Depression,mental health,
12,The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,Alcohol Use Disorder,mental health,
12,The impact of a syndemic theory-based intervention on HIV transmission risk behaviour among men who have sex with men in India: Pretest-posttest non-equivalent comparison group trial.,Chakrapani et al.,2020,India,Pretest-posttest nonequivalent groups design,Internalised homophobia,mental health,
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Depression,mental health,Older MSM living with HIV
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,Substance use,social,Older MSM living with HIV
15,"Evidence for a Syndemic in Aging HIV-positive Gay, Bisexual, and Other MSM: Implications for a Holistic Approach to Prevention and Healthcare.",Halkitis et al.,2012,USA,Mixed,PTSD,mental health,Older MSM living with HIV
